,location,lat,lng,wait_min,status,marker_color
0,Albița,46.78513359,28.138904570000022,20,,green
1,Bechet,43.74931968,23.955382699999973,10,,green
2,Borș,47.11787645,21.794600489999993,20,,green
3,Borș II,47.197195,21.858713,20,,green
4,Calafat,43.99797802,22.932071680000035,20,,green
5,Călăraşi-Chiciu,44.131321,27.26857700000005,10,,green
6,Cenad,46.15070252,20.475790500000016,10,,green
7,Dobromir,43.961172,27.786518,,"Trafic suspendat temporar începând cu data de 14 martie 2020, ora 16,00.",blue
8,Galați,45.46825360262536,28.188611261901883,10,,green
9,Giurgiu,43.90372897534073,25.990058179372568,20,,green
10,Halmeu,47.99218343807866,23.003118041472135,10,,green
11,Isaccea,45.2838718,28.453399,30,,orange
12,Jimbolia,45.75220459046048,20.70119261476202,10,,green
13,Lipnița,44.01534,27.570179000000053,,"Trafic suspendat temporar începând cu data de 14 martie 2020, ora 16,00.",blue
14,Moravița,45.23273831114173,21.271795037033144,10,,green
15,Nădlac,46.167876466346264,20.71958183862307,10,,green
16,Nădlac II,46.21156090813615,20.765371272491393,20,,green
17,Naidăș,44.90138869420463,21.562149521188644,10,,green
18,Negru Vodă,43.78720622837657,28.149193521926918,20,,green
19,Oancea,45.91761677,28.11879872999998,30,,orange
20,Ostrov,44.117674235583145,27.276005741787117,10,,green
21,Petea,47.85263706,22.77903557000002,30,,orange
22,Porțile de Fier I,44.67547766480826,22.53279268346705,10,,green
23,Porțile de Fier II,44.309086364909426,22.569930550429717,10,,green
24,Rădăuți Prut,48.252499210733916,26.803089363021854,10,,green
25,Săcuieni,47.37946379,21.983363629999985,10,,green
26,Salonta,46.765809023770025,21.488850120000052,10,,green
27,Sculeni,47.31616400549972,27.610375267906193,30,,orange
28,Sighetu Marmației,47.938771834787026,23.87753517983174,10,,green
29,Siret,47.98636006999999,26.062595845606666,20,,green
30,Stînca,47.833497321297024,27.22010850534423,10,,green
31,Turnu,46.262956840226174,21.105986238598348,10,,green
32,Turnu Măgurele,43.71179,24.885608,10,,green
33,Urziceni,47.743226632105745,22.394771580926204,20,,green
34,Valea lui Mihai,47.5255147320459,22.033783796894227,10,,green
35,Vama Veche,43.739220302193964,28.56089651677064,20,,green
36,Vârșand,46.628854660346704,21.332949395557307,10,,green
37,Zimnicea,43.6258,25.376208,10,,green
